Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,74,74.95,73.8,74,4551
2016-02-26,74.4,76.25,74.4,75.5,2348
2016-02-29,75.5,76.15,74.5,74.5,4696
2016-03-01,74.11,75.45,74.11,74.99,7050
2016-03-02,75.77,76,74.5,75,1912
2016-03-03,75.97,75.97,74,74.5,2381
2016-03-04,74,74.7,74,74.1,2642
2016-03-07,74.5,74.98,74,74.59,6976
2016-03-08,75.2,78,75,78,7882
2016-03-09,78.5,81.6,78,80.05,11526
2016-03-10,80.45,81.7,78.6,80.78,8696
2016-03-11,79.1,80.9,79.1,79.5,2965
2016-03-14,79.62,81.5,79.3,80.8,3500
2016-03-15,80.8,80.8,78.88,79.29,1882
2016-03-16,79.49,80.2,79,80,2836
2016-03-17,80.14,80.19,78.5,80.19,1597
2016-03-18,80.15,80.8,78.7,80.7,3159
2016-03-21,80.8,82.5,79.15,79.8,7192
2016-03-22,75.51,78.5,74.5,78,11723
2016-03-23,78.3,78.9,69,71,111714
2016-03-24,69.99,72.29,68.11,71.81,11447
2016-03-29,72.29,72.29,70.85,71.51,3663
2016-03-30,71.55,72.35,71.55,72.2,4185
2016-03-31,72.45,72.7,72,72.4,5717
2016-04-01,71.98,72.01,71,71.35,6514
2016-04-04,71,71.35,70.7,71,5037
2016-04-05,70.63,70.66,70,70,6759
2016-04-06,70,70.99,70,70,2435
2016-04-07,69.91,70.2,69,70,3145
2016-04-08,70.79,70.99,70,70.99,2753
2016-04-11,70.9,70.9,70,70,3189
2016-04-12,70.19,70.25,69.7,70,6044
2016-04-13,70,70.4,69,69.4,8821
2016-04-14,69.9,69.9,68.03,68.7,7948
2016-04-15,68.5,70.34,68.5,70.34,8273
2016-04-18,68.5,70.35,68.5,70.35,5411
2016-04-19,70.5,71.7,70,70.61,2575
2016-04-20,71.6,71.7,70.55,71,1847
2016-04-21,71.5,72.68,70,70.06,6546
2016-04-22,70.05,71,69.8,70.2,2097
2016-04-25,71,71,69.5,69.65,2577
2016-04-26,69.31,71,69,70.7,4086
2016-04-27,70.4,71,70,70.01,1521
2016-04-28,70,70.5,69.75,69.91,1525
2016-04-29,70,71.1,69.25,71,3980
2016-05-02,71,71,70,70.02,1974
2016-05-04,70.69,70.69,70,70.5,2679
2016-05-05,70,70.5,70,70,7519
2016-05-06,70.14,70.14,69.85,70,3122
2016-05-09,70,70.49,69,69,5312
2016-05-10,69.1,70,68,70,3006
2016-05-11,69.98,70,68.55,70,3907
2016-05-12,69,69.5,69,69.11,294
2016-05-13,69.1,69.5,65.41,68,3212
2016-05-16,67.6,68.98,67.6,68.92,1094
2016-05-17,71,71.5,70,70.97,9567
2016-05-18,70.9,71.39,70,71.38,2766
2016-05-19,71.37,72.6,71.37,72.58,6459
2016-05-20,72.89,74,72.1,73.8,6223
2016-05-23,74.2,76.3,74,75.67,6192
2016-05-24,75.87,77.77,75.87,77.7,8061
2016-05-25,77.76,78,75.15,75.7,2230
2016-05-27,75.51,77.4,74,74,1998
2016-05-30,74.01,74.01,71.85,72.7,5658
2016-05-31,72.9,73.25,71.7,72,948
2016-06-01,72,72,70,70.05,2158
2016-06-02,72.44,74.74,70.51,74.69,9346
2016-06-03,74.8,74.8,73.1,74.19,1340
2016-06-06,73.99,73.99,72.3,72.5,1543
2016-06-07,72.89,74.3,72.55,74,3113
2016-06-08,73.97,73.97,72,72.35,5907
2016-06-09,72.1,72.88,72,72.5,375
2016-06-10,72,73.5,72,73.5,1431
2016-06-13,71.6,73.95,71.6,73.8,3066
2016-06-14,72.1,73.01,72.1,72.1,1480
2016-06-15,72.2,73.6,72.2,73.6,1242
2016-06-16,73.38,73.38,71.6,71.6,2399
2016-06-17,71.51,72.9,71.51,71.8,1239
2016-06-20,72.33,73.5,72.33,72.8,1599
2016-06-21,73,73.5,72.8,73.39,1680
2016-06-22,73.49,74.9,73.1,74.5,5038
2016-06-23,74.7,76.2,74,76,7038
2016-06-24,70.02,75.1,69.75,75,24791
2016-06-27,75,75.89,74,75,5311
2016-06-28,75.2,75.2,75,75.15,932
2016-06-29,75,76.38,75,76.38,1721
2016-06-30,76.4,77,75.5,76.99,5320
2016-07-01,76.6,78,76,77.88,4850
2016-07-04,77.48,79.8,77,79.8,11627
2016-07-05,79.5,81.5,79.5,81.4,9493
2016-07-06,82.9,86.49,81.9,83.3,18144
