Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,406.45,406.45,392.05,393.2,246
2016-02-26,402.95,403,401.5,401.5,189
2016-02-29,393,407.9,393,397,55
2016-03-01,406,406,397,397,31
2016-03-02,394,394,385.6,394,507
2016-03-03,393,393,392.85,392.85,13
2016-03-04,393.9,393.9,385,390,281
2016-03-07,390,391.5,387,391,277
2016-03-08,394,398,386.5,398,910
2016-03-09,398,398,373.2,394,1002
2016-03-10,399,406,395,406,4417
2016-03-11,406,407.9,400,400,448
2016-03-14,405.95,405.95,395.65,404,1080
2016-03-15,405,405,401.3,401.3,8334
2016-03-16,404,405.9,399.9,405.9,19
2016-03-17,406,407.9,400,407.9,528
2016-03-18,407,407.9,402,407.9,347
2016-03-21,406.95,447,406.95,447,671
2016-03-22,449.95,450,430,436,907
2016-03-23,436,445,430.25,439,535
2016-03-24,435,437,429.05,436,563
2016-03-29,443.9,443.9,431.25,433,87
2016-03-30,435,439.95,435,439.9,514
2016-03-31,443.6,447,435.3,447,780
2016-04-01,437.3,446.9,436.5,446.9,409
2016-04-04,446.9,446.9,440.3,440.3,15
2016-04-05,440.3,443.9,436.15,443.9,92
2016-04-06,443.9,443.9,443.9,443.9,3
2016-04-07,434.1,445,434.1,445,118
2016-04-08,445,445,445,445,1
2016-04-11,445,445,441,444.5,20
2016-04-12,444.5,444.5,444.5,444.5,1
2016-04-13,443.65,443.65,441.3,441.3,48
2016-04-14,441.35,442.05,441.35,442.05,19
2016-04-15,442.1,444.5,442.1,444.5,193
2016-04-18,444,444,444,444,5
2016-04-19,444,468.95,442.15,468,6642
2016-04-20,468.9,500,467.9,499,4045
2016-04-21,500,530,487.75,489,477
2016-04-22,489,494,485.2,494,611
2016-04-25,499.9,499.9,490,499,922
2016-04-26,499.85,499.85,494.3,498,583
2016-04-27,499.95,502,497,499.95,4200
2016-04-28,500,518.8,500,510,3422
2016-04-29,518,550,515.1,540,4678
2016-05-02,539.5,540,539.5,540,99
2016-05-04,550,550,532,532,3957
2016-05-05,526,526,505,508,964
2016-05-06,508,530,508,527.95,183
2016-05-09,547.5,547.5,512,523,70
2016-05-10,523.95,535.95,510,535,272
2016-05-11,535,544.9,535,544.9,101
2016-05-12,540,540,540,540,2
2016-05-13,540,540,539.8,539.8,7
2016-05-16,536,540,528,540,112
2016-05-17,538.75,540,526,540,1419
2016-05-18,540,544,530,540,2275
2016-05-19,540,548,540,540,304
2016-05-20,540,548,519.1,529.95,471
2016-05-23,539.5,539.5,519.5,537,33
2016-05-24,528.8,528.8,516,516,322
2016-05-25,518,518.5,515,518.5,385
2016-05-27,520,545,520,540,2090
2016-05-30,540,540,531,540,872
2016-05-31,540,545,531.2,539.95,354
2016-06-01,540,540,521.2,538,136
2016-06-02,540,540,521.6,540,237
2016-06-03,540,540,540,540,11
2016-06-06,540,540,539.95,539.95,4
2016-06-07,540,540,539,540,6
2016-06-08,540,540,539,540,61
