Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,128.66,137.06,128.66,135.8,252516
2016-02-26,136.57,140.53,136.57,139.09,191838
2016-02-29,139.09,145.8,138.17,144.89,211727
2016-03-01,144.89,144.89,138.69,139.96,128757
2016-03-02,142.52,142.52,139.77,141.8,62567
2016-03-03,141.98,142.8,141.1,142.27,57595
2016-03-04,143.92,143.92,140.14,141.5,39134
2016-03-07,141.6,143.28,141.3,142.95,25666
2016-03-08,142.76,146.08,142.03,145.8,46676
2016-03-09,144.44,147.49,144.39,146.37,76017
2016-03-10,145.03,148.69,145.03,147.78,65212
2016-03-11,147.78,148.69,146.47,148.69,26331
2016-03-14,148.74,149.86,147.44,148.4,41993
2016-03-15,148.27,149.13,145.26,147.34,129674
2016-03-16,148.27,152.8,146.86,149.03,80271
2016-03-17,148.74,153.43,148.74,153.43,82045
2016-03-18,153.43,153.43,151.83,152.66,88747
2016-03-21,152.61,154.19,151.4,154.19,57885
2016-03-22,152.61,155.66,151.92,154.54,50324
2016-03-23,154,155.36,151.87,154.54,48904
2016-03-24,153.24,154.05,152.07,152.61,29985
2016-03-29,153.28,153.58,149.71,152.61,89663
2016-03-30,152.61,154.39,151.01,151.01,48715
2016-03-31,151.64,154.29,150.87,154.29,129528
2016-04-01,154.34,157.87,143.92,145.85,227962
2016-04-04,146.76,149.47,146.08,147.58,75913
2016-04-05,147.68,147.68,143.92,144.89,103953
2016-04-06,143.97,145.85,139.38,139.57,76808
2016-04-07,139.57,145.85,139.57,145.41,92396
2016-04-08,145.41,148.93,145.21,148.93,73727
2016-04-11,148.89,148.89,146.52,147.78,44181
2016-04-12,146.81,148.59,146.23,146.67,40440
2016-04-13,148.31,151.35,147.25,151.35,77356
2016-04-14,150.96,155.01,149.9,154.64,75496
2016-04-15,154.05,155.16,152.02,155.16,43429
2016-04-18,155.16,161.11,152.71,161.01,59201
2016-04-19,161.31,165.41,161.01,164.2,67970
2016-04-20,164.2,168,163.48,167.53,105361
2016-04-21,168,168.97,161.49,165.21,110816
2016-04-22,165.51,166.08,162.27,165.06,30448
2016-04-25,163.38,167.72,162.89,164.2,192025
2016-04-26,163.23,165.98,162.27,164.2,46377
2016-04-27,162.59,165.26,162.45,164.2,81141
2016-04-28,162.69,164.2,157.68,163.23,41301
2016-04-29,163.71,164.2,160.81,164.2,102071
2016-05-02,164.15,164.2,162.36,164.2,18124
2016-05-04,164.2,166.08,163.23,164.5,75388
2016-05-05,162.41,164.96,160.66,163.23,56690
2016-05-06,162.27,162.27,157.48,159.18,115724
2016-05-09,159.22,161.26,157,160.33,97317
2016-05-10,159.37,165.06,159.37,164.1,77877
2016-05-11,164.15,164.15,162.36,163.23,93652
2016-05-12,160.53,164.1,160.53,162.99,46838
2016-05-13,163.23,167.82,163.23,165.16,214831
2016-05-16,164.25,168,161.4,166.28,103764
2016-05-17,164.3,166.8,159.99,162.08,92243
2016-05-18,160.33,160.66,156.48,157.43,77217
2016-05-19,157.48,159.03,155.51,156.71,141698
2016-05-20,156.03,161.06,155.98,159.37,74737
2016-05-23,159.08,164.2,158.89,164.2,67994
2016-05-24,163.23,166.03,161.31,163.23,104296
2016-05-25,162.27,163.9,161.54,163.23,58139
2016-05-27,163.23,163.56,159.41,161.11,74463
2016-05-30,160.53,164.59,160.53,164.05,56453
2016-05-31,163.23,164.68,163.04,164.68,294032
2016-06-01,163.23,166.03,159.84,162.74,120403
2016-06-02,161.4,166.56,161.36,166.13,72353
2016-06-03,166.23,174.43,165.73,172.9,136332
2016-06-06,172.9,173.85,169.17,169.95,61384
2016-06-07,169.51,171.43,166.18,166.61,111941
2016-06-08,167.82,168.3,161.83,162.84,89774
2016-06-09,163.13,164,157.43,158.69,166991
2016-06-10,159.37,159.84,156.8,159.56,127328
2016-06-13,159.61,163.86,158.35,163.18,43204
2016-06-14,161.4,164.15,159.51,160.76,191607
2016-06-15,159.51,161.21,159.51,159.7,26698
2016-06-16,158.69,159.51,154.64,155.89,41476
2016-06-17,155.98,158.35,154.91,158.35,122586
2016-06-20,159.37,162.27,158.55,160.91,39641
2016-06-21,157.68,164.15,157.68,164.1,83840
2016-06-22,165.11,168.05,160.48,168.05,46825
2016-06-23,166.18,168.74,166.18,167.53,45193
2016-06-24,145.94,158.45,144.99,158.45,104227
2016-06-27,156.48,158.25,152.07,154.64,60299
2016-06-28,155.75,157.63,153.63,154.54,95288
2016-06-29,155.79,156.38,154.14,155.51,45356
2016-06-30,155.51,157.92,152.99,154.19,50694
2016-07-01,155.89,157.43,154.19,154.19,91978
2016-07-04,152.61,161.78,147.78,160.66,66445
2016-07-05,161.21,169.65,159.84,166.51,145041
2016-07-06,164.82,165.98,159.46,159.84,62057
2016-07-07,159.89,166.13,159.89,166.08,53151
2016-07-08,166.08,169.85,164.96,168.15,62761
2016-07-11,168.15,171.83,166.8,169.99,63371
2016-07-12,170.91,172.7,170.29,171.78,69621
2016-07-13,172.26,173.66,170.34,171.83,89764
2016-07-14,171.93,173.85,170.09,171.68,40145
2016-07-15,170.81,173.09,169.37,172.35,104413
2016-07-18,172.35,173.75,170.51,173.23,29991
2016-07-19,171.2,173.66,169.56,172.9,61672
2016-07-20,172.85,175.79,172.6,175.22,60368
2016-07-21,174.82,174.82,172.21,174.43,55350
2016-07-22,172.5,179.17,172.31,178.21,37776
2016-07-25,179.65,181.19,176.55,178.68,43209
2016-07-26,180.57,180.57,176.36,178.21,51715
2016-07-27,176.41,180.23,176.31,178.11,44592
2016-07-28,178.11,178.68,176.31,178.21,24688
2016-07-29,179.41,179.41,171.48,171.68,47538
2016-08-01,171.73,175.54,170.34,174.33,79700
2016-08-02,176.08,179.45,174.38,177.72,60294
2016-08-03,177.57,177.67,173.32,173.85,40811
2016-08-04,173.32,179.99,173.32,179.99,48330
2016-08-05,179.79,179.79,176.03,178.21,29860
2016-08-08,179.17,180.57,177.43,179.99,33074
2016-08-09,179.02,179.41,176.08,179.31,46039
2016-08-10,177.62,182.5,176.9,178.55,59658
2016-08-11,178.01,181.1,178.01,181.1,41065
2016-08-12,179.79,182.98,179.31,181.87,48991
2016-08-16,182.2,185.34,181.39,185.34,56769
2016-08-17,185.29,185.29,179.12,180.14,38355
2016-08-18,179.7,183.08,175.99,183.03,63652
2016-08-19,177.33,178.63,176.5,177.91,69330
2016-08-22,176.75,177.43,173.09,175.17,62585
2016-08-23,174.97,176.26,173.51,176.22,50486
2016-08-24,172.12,177.23,172.03,177.23,55609
2016-08-25,178.69,180.14,177.23,180.14,106276
2016-08-26,179.65,181.58,178.83,180.57,60415
2016-08-29,179.55,180.62,177.82,179.84,43154
2016-08-30,179.84,180.82,178.48,180.33,73377
2016-08-31,178.86,181.65,175.94,177.89,143004
2016-09-01,177.69,180.09,176.42,178.33,74640
2016-09-02,178.33,179.65,176.91,178.58,70046
2016-09-05,178.91,179.6,178.53,179.16,39822
2016-09-06,179.4,179.55,173.78,176.91,51412
2016-09-07,176.91,178.77,176.51,177.69,40010
2016-09-08,177.69,177.89,175.84,177.3,35027
2016-09-09,175.16,175.94,168.16,168.16,66402
2016-09-12,168.11,168.11,163.28,163.28,70989
2016-09-13,165.18,168.11,158.14,166.36,107335
2016-09-14,167.63,168.06,165.48,165.96,41200
2016-09-15,167.09,168.99,164.21,165.57,46337
2016-09-16,165.57,166.16,159.51,159.8,85609
2016-09-19,162.16,165.38,161.52,162.98,37092
2016-09-20,163.18,164.16,160.05,164.01,53442
2016-09-21,164.21,164.98,160.49,162.54,45300
2016-09-22,163.23,170.75,162.93,169.53,129649
2016-09-23,170.85,172.56,167.68,172.56,52109
2016-09-26,170.22,170.22,166.01,169.73,41713
2016-09-27,169.68,170.9,167.91,170.37,51992
2016-09-28,170.46,173.98,167.72,173.98,52397
2016-09-29,173.01,175.94,169.19,175.94,65945
2016-09-30,175.94,177.45,171.78,173.01,126476
2016-10-03,173.01,179.7,170.22,179.01,123794
2016-10-04,178.77,180.73,177.06,178.77,111205
2016-10-05,179.25,179.25,171.34,175.89,62768
2016-10-06,173.06,179.84,173.06,179.84,182265
2016-10-07,179.79,180.82,177.45,180.82,50837
2016-10-10,179.35,180.58,176.91,177.84,83866
2016-10-11,178.04,182.88,177.99,180.63,78956
2016-10-12,179.01,180.82,178.04,180.82,47284
2016-10-13,180.82,180.82,177.89,179.74,83446
2016-10-14,180.53,181.56,177.94,179.84,51757
2016-10-17,179.84,181.31,177.99,178.63,63333
2016-10-18,178.58,184.58,178.38,184.24,115430
2016-10-19,183.76,191.08,183.76,190.59,145763
2016-10-20,190.54,193.33,189.18,190.59,56713
2016-10-21,190.59,195.48,189.33,191.08,143416
2016-10-24,191.08,194.51,190.93,194.11,40289
2016-10-25,193.96,193.96,190.35,190.59,59677
2016-10-26,190.15,193.53,190.1,190.59,51402
2016-10-27,190.1,193.86,189.67,193.53,48626
2016-10-28,192.11,194.51,190.59,194.51,29548
2016-10-31,193.08,197.44,191.13,194.61,103414
2016-11-02,193.58,195.39,186.74,190.69,162604
2016-11-03,190.3,191.77,185.61,186.79,49643
2016-11-04,185.76,186.39,181.31,183.71,82672
2016-11-07,186.19,188.84,180.63,186.39,59846
2016-11-08,187.36,188.34,185.71,187.08,39219
2016-11-09,183.76,187.03,181.8,186.19,63691
2016-11-10,187.61,193.53,187.26,188.25,66090
2016-11-14,189.82,189.82,178.43,179.35,120634
2016-11-15,179.35,181.51,174.31,176.91,42116
2016-11-16,176.96,180.63,176.03,180.23,49786
2016-11-17,180.68,181.6,178.38,179.5,33313
2016-11-18,175.99,181.41,173.98,178.38,62378
2016-11-21,177.89,184.78,177.4,184.78,66813
2016-11-22,182.78,187.08,182.73,186.29,77440
2016-11-23,185.36,190.59,185.36,190.59,81429
2016-11-24,191.28,194.99,189.67,194.41,67445
2016-11-25,194.36,194.36,188,193.33,83914
2016-11-28,191.62,192.36,186.89,189.13,61679
2016-11-29,189.67,193.43,186.84,192.56,66450
2016-11-30,191.72,194.51,190.59,194.51,103764
2016-12-01,194.46,198.17,191.67,191.91,98343
2016-12-02,194.26,194.26,186.89,187.46,55780
2016-12-05,187.71,191.96,187.17,191.53,40541
2016-12-06,191.53,192.36,187.46,190.05,76375
2016-12-07,188.64,191.91,186.44,189.57,96033
