Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,29.04,29.618,29.04,29.468,43339
2016-02-26,29.477,30.171,29.477,30.125,50789
2016-02-29,30.288,30.288,29.93,30.147,24725
2016-03-01,30.125,30.288,29.976,30.21,84200
2016-03-02,30.131,30.335,29.523,29.523,92901
2016-03-03,29.586,29.664,29.336,29.43,115622
2016-03-04,29.43,29.43,29.204,29.267,50209
2016-03-07,29.267,29.64,29.126,29.375,47157
2016-03-08,29.351,29.718,29.328,29.539,38402
2016-03-09,29.632,29.632,29,29.351,52284
2016-03-10,29.531,29.531,29.204,29.398,21788
2016-03-11,29.281,30.249,29.281,30.249,63097
2016-03-14,30.249,30.741,29.936,30.335,52667
2016-03-15,30.335,30.499,29.906,30.242,31634
2016-03-16,30.358,31.358,30.242,31.343,85975
2016-03-17,31.225,31.928,31.156,31.928,51185
2016-03-18,31.928,32.396,31.732,32.396,74057
2016-03-21,32.451,32.451,30.889,31.264,54446
2016-03-22,31.146,31.146,30.452,30.483,43301
2016-03-23,30.483,30.78,30.062,30.647,47805
2016-03-24,30.757,30.757,30.335,30.444,16529
2016-03-29,30.444,30.523,30.296,30.296,12392
2016-03-30,30.444,30.67,30.296,30.444,29253
2016-03-31,30.444,30.68,30.312,30.601,29695
2016-04-01,30.492,30.492,30.257,30.265,23221
2016-04-04,30.358,30.358,29.438,29.859,80188
2016-04-05,29.89,29.89,29.625,29.625,21441
2016-04-06,29.586,29.789,29.547,29.547,24234
2016-04-07,29.727,31.202,29.718,31.186,83025
2016-04-08,30.999,31.186,30.593,30.601,39158
2016-04-11,30.499,30.601,30.452,30.452,19959
2016-04-12,30.601,30.601,29.906,29.999,42789
2016-04-13,30.164,30.601,30.101,30.397,42826
2016-04-14,30.483,31.225,30.483,31.225,57122
2016-04-15,31.303,31.741,31.225,31.451,51564
2016-04-18,31.045,31.225,30.975,31.146,17906
2016-04-19,31.099,31.146,30.64,30.749,19739
2016-04-20,30.601,30.68,29.749,29.827,84172
2016-04-21,29.976,30.257,29.43,29.586,103224
2016-04-22,29.976,29.976,29.547,29.586,110075
2016-04-25,29.586,29.757,29.507,29.578,6378
2016-04-26,29.571,29.804,29.539,29.656,51061
2016-04-27,29.898,30.007,29.82,29.851,18188
2016-04-28,29.68,29.82,29.43,29.43,33623
2016-04-29,29.422,30.015,28.774,29.444,60025
2016-05-02,29.454,30.21,29.454,29.898,46736
2016-05-04,29.851,29.851,29.523,29.765,30634
2016-05-05,29.743,29.743,29.444,29.444,28114
2016-05-06,29.477,29.477,28.962,28.962,45715
2016-05-09,29.267,29.267,28.142,28.173,45480
2016-05-10,28.22,28.781,28.22,28.571,49691
2016-05-11,28.507,29.586,28.507,29.008,23736
2016-05-12,29.016,29.313,28.501,29.164,30369
2016-05-13,29.086,29.5,29.079,29.204,39485
2016-05-16,29.133,29.571,29.133,29.43,34951
2016-05-17,29.571,29.586,29.281,29.305,15329
2016-05-18,29.305,29.391,28.781,29.023,31150
2016-05-19,28.93,29.079,28.844,28.962,47664
2016-05-20,28.891,29.04,28.54,28.805,167969
2016-05-23,28.821,28.915,28.22,28.492,80802
2016-05-24,28.485,28.571,28.344,28.376,55922
2016-05-25,28.32,28.461,28.32,28.32,56522
2016-05-27,28.367,28.383,28.111,28.242,40699
2016-05-30,28.259,28.297,28.149,28.212,16209
2016-05-31,28.259,28.259,27.938,27.938,88351
2016-06-01,27.907,28.088,26.94,27.322,50748
2016-06-02,27.259,27.478,26.175,26.776,114826
2016-06-03,27.088,27.212,26.416,26.416,180212
2016-06-06,26.541,26.924,26.494,26.619,114706
2016-06-07,26.823,26.892,26.409,26.541,261342
2016-06-08,26.541,27.4,26.464,26.963,126577
2016-06-09,27.259,27.259,26.478,26.478,75699
2016-06-10,26.541,26.619,25.855,25.862,87623
2016-06-13,25.862,25.916,25.69,25.792,78973
2016-06-14,25.949,25.949,25.604,25.636,91233
2016-06-15,25.752,25.752,25.223,25.363,174110
2016-06-16,25.308,25.355,24.293,24.293,113725
2016-06-17,24.589,25.417,24.238,24.7,157236
2016-06-20,25.097,25.363,25.05,25.16,56575
2016-06-21,25.37,25.659,25.214,25.238,65943
2016-06-22,25.3,25.839,25.292,25.784,76281
2016-06-23,25.823,26.221,25.823,26.182,60491
2016-06-24,24.589,25.612,24.277,25.379,85729
2016-06-27,25.449,25.877,24.785,24.785,48261
2016-06-28,24.996,25.097,24.747,24.747,59568
2016-06-29,24.981,25.762,24.675,25.762,104216
2016-06-30,25.762,25.909,25.518,25.762,83617
2016-07-01,25.768,25.823,25.604,25.667,187829
2016-07-04,25.667,25.752,25.027,25.136,67610
2016-07-05,25.152,25.762,25.152,25.37,38292
2016-07-06,25.332,25.37,24.785,24.793,76877
2016-07-07,24.91,25.683,24.91,25.551,160218
2016-07-08,25.588,25.762,25.534,25.675,48884
2016-07-11,25.761,26.151,25.69,25.886,276423
2016-07-12,25.917,26.151,25.917,25.971,56001
2016-07-13,26.112,26.229,25.761,25.761,154601
2016-07-14,25.979,26.073,25.768,25.995,77711
2016-07-15,26.064,27.002,26.042,26.916,99094
2016-07-18,26.978,27.744,26.97,27.555,158804
2016-07-19,28.025,28.1,27.523,27.523,70209
2016-07-20,27.606,27.891,27.28,27.447,65024
2016-07-21,27.44,27.44,27.339,27.355,27503
2016-07-22,27.339,27.339,26.862,27.003,50261
2016-07-25,27.003,27.414,27.003,27.222,29152
2016-07-26,27.222,27.44,27.222,27.397,94425
2016-07-27,27.355,27.933,27.347,27.907,58038
2016-07-28,27.941,28.359,27.941,28.359,77179
2016-07-29,28.359,28.61,28.234,28.526,51346
2016-08-01,28.443,28.753,28.326,28.326,94412
2016-08-02,28.234,28.443,27.765,28.025,41636
2016-08-03,28.066,28.443,28.025,28.191,50784
2016-08-04,28.032,28.468,27.791,28.251,44790
2016-08-05,28.191,28.61,28.191,28.543,199021
2016-08-08,28.668,29.054,28.652,28.678,55005
2016-08-09,28.678,29.079,28.443,28.945,55168
2016-08-10,28.936,28.969,28.786,28.861,30726
2016-08-11,28.861,28.928,28.786,28.894,10993
2016-08-12,28.819,29.02,28.819,28.945,96994
2016-08-16,28.962,29.205,28.945,29.087,38193
2016-08-17,29.195,29.296,28.936,29.27,64647
2016-08-18,29.238,29.446,29.238,29.371,32107
2016-08-19,29.338,29.531,29.02,29.33,68001
2016-08-22,29.288,29.581,29.28,29.439,40745
2016-08-23,29.446,29.48,29.28,29.413,32065
2016-08-24,29.405,29.43,29.162,29.238,112437
2016-08-25,29.137,29.765,28.969,29.765,116734
2016-08-26,29.765,29.949,29.581,29.798,72733
2016-08-29,29.756,30.224,29.622,29.781,43729
2016-08-30,29.698,29.991,29.456,29.489,29634
2016-08-31,29.489,29.497,29.195,29.405,39734
2016-09-01,29.162,29.731,29.162,29.28,71011
2016-09-02,29.313,29.446,29.288,29.338,21774
2016-09-05,29.195,29.665,29.162,29.531,22662
2016-09-06,29.689,29.689,29.28,29.681,42262
2016-09-07,29.89,30.108,29.773,29.823,53290
2016-09-08,29.906,30.367,29.906,30.367,137199
2016-09-09,29.873,30.367,29.79,30.367,37588
2016-09-12,30.224,30.492,30.057,30.433,38696
2016-09-13,30.433,30.593,30.35,30.576,31546
2016-09-14,30.501,30.81,30.501,30.81,38664
2016-09-15,30.81,31.161,30.81,31.161,47941
2016-09-16,31.32,31.982,30.952,31.982,122129
2016-09-19,31.789,32.04,31.638,31.797,48078
2016-09-20,31.998,32.023,31.621,31.789,40681
2016-09-21,31.706,32.057,31.706,31.957,36924
2016-09-22,31.872,32.115,31.614,31.957,52960
2016-09-23,31.948,31.948,31.706,31.823,44828
2016-09-26,31.789,31.789,31.253,31.496,34786
2016-09-27,31.689,31.789,31.631,31.789,40009
2016-09-28,31.631,31.789,31.412,31.412,113469
2016-09-29,31.412,31.588,31.304,31.38,19427
2016-09-30,31.204,31.412,31.036,31.245,42849
2016-10-03,31.245,31.37,31.128,31.128,4810
2016-10-04,31.045,31.187,30.86,30.952,22512
2016-10-05,30.785,30.785,29.923,30.568,37727
2016-10-06,30.116,30.76,30.116,30.76,24052
2016-10-07,30.76,30.76,30.031,30.451,32538
2016-10-10,30.158,30.609,30.158,30.609,13497
2016-10-11,30.475,30.609,30.3,30.492,83568
2016-10-12,30.292,30.451,30.132,30.443,56188
2016-10-13,30.451,30.492,30.3,30.484,15898
2016-10-14,30.475,30.827,30.367,30.718,77268
2016-10-17,30.694,31.128,30.634,30.785,63471
2016-10-18,30.651,31.12,30.651,31.036,122690
