Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,10.034,10.498,10.034,10.271,160085
2016-02-26,10.394,10.65,10.082,10.148,230946
2016-02-29,9.703,9.921,9.703,9.75,166917
2016-03-01,9.703,10.224,9.514,9.845,348547
2016-03-02,9.949,10.129,9.949,9.987,66143
2016-03-03,9.987,11.331,9.987,11.331,508853
2016-03-04,11.36,11.956,10.943,11.028,617622
2016-03-07,11.019,12.212,10.905,11.71,953843
2016-03-08,11.738,12.278,11.54,11.596,699944
2016-03-09,11.833,11.975,11.483,11.549,303621
2016-03-10,11.502,11.814,11.407,11.416,279486
2016-03-11,11.587,11.776,11.435,11.511,197116
2016-03-14,11.549,11.738,11.511,11.577,71121
2016-03-15,11.577,11.776,11.483,11.549,124161
2016-03-16,11.568,11.776,11.502,11.625,141850
2016-03-17,11.625,11.928,11.549,11.729,272340
2016-03-18,11.71,12.022,11.625,11.625,412328
2016-03-21,11.634,12.486,11.625,12.212,341268
2016-03-22,12.392,12.486,12.126,12.439,187067
2016-03-23,12.41,13.007,12.06,12.079,652024
2016-03-24,12.022,12.259,11.738,11.88,320425
2016-03-29,12.07,12.155,11.833,11.833,132967
2016-03-30,11.928,12.751,11.852,12.59,467047
2016-03-31,12.723,13.187,12.571,13.054,512738
2016-04-01,12.808,12.931,12.448,12.666,535081
2016-04-04,12.638,12.846,12.505,12.751,80068
2016-04-05,12.666,12.666,12.477,12.496,121785
2016-04-06,12.59,12.694,11.88,12.07,290970
2016-04-07,12.089,12.193,11.928,12.079,209431
2016-04-08,12.041,12.183,11.975,11.984,84753
2016-04-11,12.003,12.571,11.975,12.25,146632
2016-04-12,12.335,13.395,12.335,13.31,808782
2016-04-13,13.613,14.162,13.594,14.067,612418
2016-04-14,14.048,15.515,14.01,14.72,1399063
2016-04-15,15.288,15.43,14.266,14.768,427013
2016-04-18,14.607,16.065,14.294,16.017,941371
2016-04-19,16.102,17.087,16.102,16.566,1130484
2016-04-20,16.557,16.841,15.733,16.642,701277
2016-04-21,16.661,16.85,16.159,16.424,414717
2016-04-22,16.434,16.614,16.282,16.5,264394
2016-04-25,16.566,18.176,16.566,17.655,830076
2016-04-26,18.185,18.27,16.566,16.954,923538
2016-04-27,16.85,17.787,16.803,17.248,402134
2016-04-28,17.324,17.731,16.756,17.712,323134
2016-04-29,17.712,18.744,17.608,18.602,751614
2016-05-02,18.602,19.87,18.602,19.577,842759
2016-05-04,19.595,19.595,18.308,19.122,775075
2016-05-05,19.084,19.169,18.478,18.744,267048
2016-05-06,18.744,19.397,18.46,18.999,290832
2016-05-09,19.406,19.406,18.734,18.885,277849
2016-05-10,18.933,18.933,16.207,16.396,1210441
2016-05-11,16.178,17.04,15.222,16.358,1034182
2016-05-12,16.358,16.434,14.985,15.231,616164
2016-05-13,16.093,16.5,15.534,16.32,717763
2016-05-16,16.86,17.324,16.803,16.945,384076
2016-05-17,17.049,17.248,15.904,16.282,435120
2016-05-18,16.065,16.983,13.272,14.152,1382893
2016-05-19,14.095,14.143,13.064,13.944,872866
2016-05-20,13.944,14.531,13.774,14.455,401319
2016-05-23,14.521,14.72,14.133,14.645,179826
2016-05-24,14.398,14.673,14.266,14.342,272962
2016-05-25,14.503,14.711,14.285,14.379,143203
2016-05-27,14.531,14.531,14.124,14.389,172387
2016-05-30,14.379,14.379,13.139,13.272,452556
2016-05-31,13.3,13.537,13.064,13.064,319920
2016-06-01,13.253,13.518,12.145,12.145,871378
2016-06-02,12.145,12.59,12.145,12.41,229051
2016-06-03,12.609,13.83,12.609,13.622,528490
2016-06-06,13.906,14.578,13.755,14.086,290989
2016-06-07,14.247,14.635,14.209,14.635,309241
2016-06-08,14.957,15.62,14.815,15.146,393078
2016-06-09,15.43,15.582,14.531,15.099,207594
2016-06-10,15.165,15.165,14.673,15.033,130608
2016-06-13,14.673,15.478,14.37,15.43,189632
2016-06-14,15.43,15.515,15.033,15.336,177936
2016-06-15,15.336,15.459,15.108,15.288,98941
2016-06-16,15.241,15.241,14.588,14.768,268223
2016-06-17,14.673,16.14,14.673,15.61,418817
2016-06-20,15.639,16.33,15.62,16.093,191014
2016-06-21,16.112,16.263,15.714,15.809,191858
2016-06-22,15.856,16.178,15.856,16.093,103322
2016-06-23,15.998,16.85,15.856,16.756,143972
2016-06-24,14.209,16.254,14.058,16.093,524394
2016-06-27,16.102,16.188,15.724,15.762,139981
2016-06-28,15.904,17.134,15.904,16.992,331059
2016-06-29,17.04,17.929,16.945,17.598,299866
2016-06-30,17.693,17.768,16.14,16.235,332266
2016-07-01,16.519,17.598,16.377,17.276,298184
2016-07-04,17.04,18.261,16.803,18.043,653227
2016-07-05,17.939,18.318,17.532,17.759,219514
2016-07-06,17.38,18.071,17.068,17.21,227568
2016-07-07,17.333,18.005,17.314,17.854,301800
2016-07-08,17.816,17.844,17.276,17.371,231440
2016-07-11,17.371,17.825,17.361,17.466,261270
2016-07-12,17.683,18.071,17.608,17.835,289621
2016-07-13,18.015,18.043,17.371,17.636,153261
2016-07-14,17.806,17.986,17.655,17.92,223016
2016-07-15,17.967,18.507,17.967,18.45,680622
2016-07-18,18.299,18.687,17.731,18.081,226606
2016-07-19,17.892,17.91,17.134,17.702,301158
2016-07-20,17.939,18.261,17.816,17.977,300094
2016-07-21,17.986,20.211,17.816,20.211,1222760
2016-07-22,20.201,21.773,20.05,20.968,1479828
2016-07-25,21.11,21.915,21.11,21.583,749208
2016-07-26,21.782,22.104,21.299,21.773,525877
2016-07-27,21.773,22.246,21.394,22.246,409438
2016-07-28,22.445,23.836,22.445,23.666,864302
2016-07-29,23.855,24.594,22.057,23.666,1142182
2016-08-01,23.723,24.471,23.193,23.676,341164
2016-08-02,23.477,23.846,22.398,23.193,540535
2016-08-03,23.013,23.997,22.53,23.761,615084
2016-08-04,23.95,24.064,23.619,23.761,251668
2016-08-05,23.761,23.818,23.505,23.609,308160
2016-08-08,23.515,24.423,23.515,24.329,232382
2016-08-09,24.329,29.251,24.026,28.295,1302744
2016-08-10,28.92,30.955,28.002,28.768,1862425
2016-08-11,28.778,29.015,27.083,28.305,672624
2016-08-12,28.494,29.147,27.973,28.589,433555
2016-08-16,28.589,28.863,28.182,28.219,147473
2016-08-17,28.257,28.447,27.453,28.068,345143
2016-08-18,27.462,28.191,25.256,26.033,1506309
2016-08-19,26.033,27.793,24.471,27.453,1546388
2016-08-22,27.566,28.39,26.894,27.216,298229
2016-08-23,27.462,28.873,27.462,28.608,973848
2016-08-24,28.683,29.535,28.532,28.768,387339
2016-08-25,29.062,29.128,27.263,28.03,268915
2016-08-26,27.841,28.731,27.642,28.39,294153
2016-08-29,28.664,30.435,28.409,30.009,566470
2016-08-30,30.936,37.762,30.832,36.834,4270418
2016-08-31,37.08,38.244,35.404,36.692,1766552
2016-09-01,36.256,37.25,34.846,35.12,695592
2016-09-02,36.919,37.818,35.442,37.515,910017
2016-09-05,39.759,45.713,39.021,45.117,2264076
2016-09-06,45.439,47.048,43.309,44.407,1324267
2016-09-07,45.06,46.291,41.368,42.41,1445064
2016-09-08,42.599,44.757,39.579,44.199,1900311
2016-09-09,44.984,45.647,44.104,44.492,806098
