Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,213.53,216.4,213.37,213.37,5683
2016-02-26,215.11,216.29,214.62,214.89,8677
2016-02-29,216.51,218.67,214.24,214.85,3931
2016-03-01,215.99,219.46,214.21,215.63,5154
2016-03-02,215.26,217.15,213.15,213.26,6885
2016-03-03,214.13,214.43,212.88,213.37,7398
2016-03-04,214.89,216.66,212.62,216.4,5098
2016-03-07,217.47,219.66,215.63,219.57,9585
2016-03-08,220.11,229,219.43,228.5,41169
2016-03-09,228.5,230.97,227,230.78,10032
2016-03-10,230.78,230.78,225.48,227,11249
2016-03-11,226.24,230.62,223.24,225.86,7401
2016-03-14,229.53,230.78,227,229.26,6313
2016-03-15,229.26,231.54,227,227,17942
2016-03-16,229.19,230.59,227,227.07,6419
2016-03-17,227.15,229.26,226.24,227,21011
2016-03-18,229.23,230.36,227,227.75,14647
2016-03-21,228.5,229.26,227,227,14672
2016-03-22,227.75,228.35,224.72,224.72,4953
2016-03-23,225.56,227.22,225.56,226.24,19904
2016-03-24,228.5,234.03,228.5,233.8,6671
2016-03-29,233.8,242.09,231.65,241.45,6298
2016-03-30,242.13,245.91,239.1,241.37,3363
2016-03-31,242.5,244.58,239.05,242.13,6815
2016-04-01,242.5,242.5,239.52,241.37,1768
2016-04-04,240.62,242.04,240.15,241.79,1082
2016-04-05,241.98,241.98,229.34,232.06,2979
2016-04-06,232.29,236.63,230.33,230.33,9580
2016-04-07,234.56,234.56,230.78,232.74,7359
2016-04-08,234.56,245.91,234.56,245.91,6591
2016-04-11,244.89,244.89,240.62,242.13,1059
2016-04-12,242.13,242.13,235.32,235.32,1775
2016-04-13,238.35,240.62,236.07,239.93,5065
2016-04-14,240.27,241.29,239.1,241.25,1317
2016-04-15,240.77,243.6,239.93,243.6,707
2016-04-18,242.88,243.1,239.15,242.84,8189
2016-04-19,242.39,242.58,240.13,242.09,3395
2016-04-20,242.13,253.48,242.13,253.44,14088
2016-04-21,253.44,255.86,251.96,255.37,6940
2016-04-22,255.37,263.31,254.24,261.19,3373
2016-04-25,263.31,264.82,256.51,264.82,4726
2016-04-26,264.82,267.82,253.7,257.18,5853
2016-04-27,257.27,259.53,251.96,251.96,2494
2016-04-28,251.96,251.96,248.63,249.7,6593
2016-04-29,246.7,248.94,242.88,248.94,2837
2016-05-02,248.96,254.88,243.65,243.65,8080
2016-05-04,244.4,247.43,244.09,246.29,6421
2016-05-05,245.91,250.45,245.61,249.61,3721
2016-05-06,249.61,249.61,247.54,247.54,924
2016-05-09,247.54,251.59,246.77,250.07,3106
2016-05-10,249.58,251.5,247.34,251.5,3378
2016-05-11,251.96,255.75,251.21,254.99,2692
2016-05-12,254.99,262.3,254.99,258.4,5483
2016-05-13,259.91,259.91,254.37,258.4,1916
2016-05-16,258.77,260.97,258.02,259.15,5220
2016-05-17,260.78,260.97,255.52,259.61,4690
2016-05-18,259.49,260.29,257.27,260.29,6938
2016-05-19,260.25,260.25,254.26,257.11,2491
2016-05-20,257.27,257.27,252,253.17,3760
2016-05-23,256.39,257.06,252.04,256.01,1415
2016-05-24,252.04,255.75,252.04,252.19,1792
2016-05-25,252.42,255.75,252.07,255.75,3423
2016-05-27,255.75,262.06,252.95,262.06,2209
2016-05-30,262.56,262.56,253.55,256.27,1674
2016-05-31,256.24,256.51,249.7,249.7,3190
2016-06-01,250.45,250.45,238.35,238.35,3596
2016-06-02,238.35,245.16,236.07,240.62,8848
2016-06-03,243.53,249.7,243.53,249.7,2673
2016-06-06,252.72,252.72,242.13,245.91,1891
2016-06-07,246.66,248.94,243.19,244.96,965
2016-06-08,245.91,245.91,242.13,243.68,4559
2016-06-09,243.68,244.4,240.66,240.68,1706
2016-06-10,247.16,247.27,242.13,247.27,803
2016-06-13,247.23,247.23,243.45,244.69,867
2016-06-14,242.88,249.54,239.21,249.54,3238
2016-06-15,248.85,249.32,244.78,244.78,2564
2016-06-16,248.07,248.07,238.72,238.72,2985
2016-06-17,240.57,249.32,238.35,242.16,14434
2016-06-20,244.4,251.02,242.88,246.66,10024
2016-06-21,242.96,247.43,242.96,244.69,596
2016-06-22,247.34,248.14,245.98,247.43,1432
2016-06-23,249.61,255.75,248.94,255.75,3834
2016-06-24,238.35,245.87,238.35,239.1,15989
2016-06-27,242.88,242.88,236.46,238.35,2473
2016-06-28,238.35,241.71,238.27,239.1,3122
2016-06-29,241.6,241.6,234.56,234.56,3982
2016-06-30,234.6,241.29,234.49,241.29,6787
2016-07-01,241.37,241.9,237.09,237.2,2874
2016-07-04,236.46,236.46,230.82,233.53,88240
2016-07-05,234.44,239.21,233.69,238.72,4154
2016-07-06,238.35,239.78,236.15,238.3,2443
2016-07-07,239.71,240.31,237.63,238.35,2209
2016-07-08,239.78,239.78,235.96,237.58,3082
2016-07-11,239.78,239.78,234.78,239.64,16037
2016-07-12,239.78,239.86,236.98,238.34,19779
2016-07-13,238.34,243.94,238.3,243.71,5232
2016-07-14,253.58,253.58,245.72,246.19,4148
2016-07-15,246.19,250.85,245.07,250.57,9323
2016-07-18,250.57,250.57,247.64,250,2012
2016-07-19,250,250.77,246.84,249.24,6074
2016-07-20,249.24,250.41,248.64,250.05,3373
2016-07-21,250.05,252.41,248.45,250.48,15764
2016-07-22,252.41,263.68,250.05,259.7,12800
2016-07-25,261.27,266.07,260.47,266.07,7751
2016-07-26,266.07,270.88,261.63,270.88,4874
2016-07-27,270.85,270.85,266.12,269.36,1398
2016-07-28,270.53,272.16,264.71,270.88,3612
2016-07-29,270.88,272.28,267.44,269.28,4042
2016-08-01,269.28,274.45,269.28,271.88,2392
2016-08-02,272.09,278.34,272.09,274.93,3776
2016-08-03,272.12,280.5,272,278.1,5407
2016-08-04,278.53,281.7,278.5,280.1,3395
2016-08-05,279.7,287.23,275.69,284.51,3246
2016-08-08,287.23,296.45,286.91,292.52,14357
2016-08-09,293.45,294.17,289.96,292.52,8729
2016-08-10,293.48,294.4,288.84,293.96,2629
2016-08-11,296.53,297.25,290.27,290.36,2884
2016-08-12,291.73,298.13,291.73,297.33,8124
2016-08-16,298.93,298.93,292.56,298.13,6489
2016-08-17,298.13,298.17,294.13,294.13,3518
2016-08-18,298.85,298.85,290.92,296.53,6462
2016-08-19,298.45,298.78,293.33,296.53,3147
2016-08-22,297.98,298.54,292.6,295.73,4229
2016-08-23,295.73,297.33,293.72,294.13,1491
2016-08-24,297.33,297.33,293.33,293.33,6833
2016-08-25,293.33,293.76,292.96,293.33,11986
2016-08-26,293.33,294.76,293,293.28,7405
2016-08-29,294.13,295.73,292.52,292.52,915
2016-08-30,291.56,296.53,291.56,296.53,1793
2016-08-31,298.13,298.13,294.13,296.53,8896
2016-09-01,296.53,298.73,296.53,298.73,1448
2016-09-02,298.13,298.93,296.49,298.13,4875
2016-09-05,294.92,302.14,294.92,298.97,717
2016-09-06,300.54,305.79,299.02,305.79,4042
2016-09-07,306.95,320.54,306.91,313.77,29404
2016-09-08,312.6,314.16,310.51,311.36,1927
2016-09-09,311.75,311.75,302.46,302.46,3006
2016-09-12,304.55,309.15,302.5,304.55,2722
2016-09-13,309.36,309.36,304.19,305.43,3838
2016-09-14,304.62,308.79,304.62,308.79,2152
2016-09-15,309.36,310.96,307.75,310.15,5747
2016-09-16,309.36,320.49,307.87,317.36,17993
2016-09-19,317.33,317.33,312.8,314.56,10538
2016-09-20,318.97,318.97,304.62,305.02,4575
2016-09-21,308.39,311.27,305.34,308.55,2252
2016-09-22,313.43,325.31,313.43,322.86,15132
2016-09-23,322.98,323.42,313.31,313.31,5108
2016-09-26,312.56,323.34,312.56,318.85,7001
2016-09-27,319.78,320.21,311.32,312.28,1884
2016-09-28,316.53,316.53,308.55,312.56,2591
2016-09-29,315.76,315.76,307.1,307.35,3023
2016-09-30,314.72,314.72,308.55,314.72,1215
2016-10-03,316.49,316.49,308.91,310.55,3243
2016-10-04,314.77,314.77,305.07,310.15,3040
2016-10-05,312.56,312.56,307.83,309.51,1233
2016-10-06,309.6,312.56,302.18,306.86,4515
2016-10-07,307.19,315.52,301.18,306.19,10956
2016-10-10,310.87,310.96,301.81,306.91,5498
2016-10-11,309.75,309.75,302.38,304.55,4533
2016-10-12,304.58,308.43,292.6,300.54,5962
2016-10-13,300.54,302.54,292.8,300.14,7311
2016-10-14,301.33,309.62,301.33,306.15,17098
2016-10-17,305.34,319.78,305.34,315.01,9351
