Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,4976.25,4976.35,4893.42,4936.35,1179
2016-02-26,4964.65,5015.35,4947.13,4974.89,1560
2016-02-29,4974.41,4974.41,4888.54,4937.32,4313
2016-03-01,4917.85,4976.35,4840.78,4976.35,2674
2016-03-02,4976.35,5023.48,4879.85,5023.48,1526
2016-03-03,5023.43,5023.48,4947.13,4975.38,4048
2016-03-04,5103.21,5210.49,5103.21,5150.39,4391
2016-03-07,5152.03,5239.8,5051.34,5227.12,2465
2016-03-08,5227.02,5249.57,5153.02,5171.51,2070
2016-03-09,5123.84,5266.16,5123.84,5266.16,1401
2016-03-10,5259.32,5418.37,5122.72,5201.17,2795
2016-03-11,5249.57,5280.94,5142.23,5263.28,1566
2016-03-14,5263.28,5361.79,5191.03,5269.07,2711
2016-03-15,5239.8,5269.07,5181.31,5200.78,1838
2016-03-16,5262.25,5412.47,5205.66,5409.14,2419
2016-03-17,5412.51,5736.08,5412.51,5693.48,7669
2016-03-18,5706.16,5737.44,5483.75,5483.75,11658
2016-03-21,5484.82,5571.86,5317.87,5562.39,2265
2016-03-22,5562.39,5704.22,5493.55,5626.8,2045
2016-03-23,5681.72,5698.36,5498.38,5542.74,1989
2016-03-24,5542.83,5591.04,5444.72,5464.23,1174
2016-03-29,5581.27,5581.27,5381.28,5395.92,1619
2016-03-30,5464.23,5511.01,5339.33,5464.38,1941
2016-03-31,5464.23,5512.63,5298.35,5366.66,4025
2016-04-01,5366.66,5366.76,5249.52,5287.62,2680
2016-04-04,5345.2,5432.97,5311.28,5373.79,662
2016-04-05,5376.41,5404.72,5298.35,5300.21,1734
2016-04-06,5308.16,5415.44,5249.57,5366.66,1698
2016-04-07,5366.62,5420.27,5200.78,5273.91,1454
2016-04-08,5336.37,5336.37,5239.8,5326.6,1624
2016-04-11,5317.87,5395.88,5270.12,5386.16,857
2016-04-12,5361.79,5506.18,5361.79,5506.18,2221
2016-04-13,5513.02,5708.13,5513.02,5708.13,1573
2016-04-14,5708.08,5743.4,5615.47,5743.4,2624
2016-04-15,5737.39,5898.39,5573.51,5898.34,1871
2016-04-18,5805.8,6028.76,5756.76,6028.76,1571
2016-04-19,6003.92,6127.75,6003.92,6059.44,2597
2016-04-20,6001.92,6055.5,5932.59,6001.82,2296
2016-04-21,6039.88,6096.48,5834.97,6044.27,1738
2016-04-22,5903.33,6024.32,5864.43,5932.59,1857
2016-04-25,5883.81,5898.15,5661.48,5676.94,1873
2016-04-26,5659.39,5659.39,5386.12,5464.28,4012
2016-04-27,5512,5512,5371.54,5463.5,3319
2016-04-28,5463.5,5637.92,5288.59,5598.64,2244
2016-04-29,5552.05,5659.39,5436.08,5493.95,2065
2016-05-02,5494,5703.3,5494,5659.39,534
2016-05-04,5659.39,5756.95,5378.75,5404.32,2411
2016-05-05,5434.96,5434.96,5249.57,5269.07,2926
2016-05-06,5230.1,5356.9,5230.1,5278.84,2421
2016-05-09,5278.89,5356.9,5249.57,5308.11,1664
2016-05-10,5288.64,5405.63,5280.98,5308.11,1537
2016-05-11,5309.33,5309.33,5231.37,5231.37,1621
2016-05-12,5171.51,5171.51,4879.8,4883.66,2968
2016-05-13,4883.66,4895.47,4664.16,4756.8,4695
2016-05-16,4820.18,4925.56,4781.74,4878.79,1707
2016-05-17,4888.64,4976.35,4832.92,4947.13,1625
2016-05-18,4947.13,4976.35,4883.66,4976.35,1893
2016-05-19,4917.95,4990.5,4879.26,4927.55,2232
2016-05-20,4946.64,5073.93,4893.7,5000.35,2838
2016-05-23,4982.22,5161.7,4982.22,5071.01,1810
2016-05-24,5073.98,5315.38,5073.98,5255.42,1817
2016-05-25,5317.82,5408.47,5203.71,5351.54,2035
2016-05-27,5362.76,5462.03,5226.2,5351.29,2657
2016-05-30,5367.73,5453.3,5256.39,5391.05,1259
2016-05-31,5368.36,5450.08,5205.66,5269.07,6316
2016-06-01,5268.11,5268.11,5025.34,5035.92,2194
2016-06-02,5046.31,5087.8,4713.1,4789.98,3810
2016-06-03,4830.09,4932.44,4720.95,4859.27,3586
2016-06-06,4898.4,5015.35,4810.52,5009.97,1403
2016-06-07,5009.82,5204.58,4964.65,5204.58,1501
2016-06-08,5138.44,5269.07,5084.66,5269.07,1253
2016-06-09,5264.09,5264.09,5003.34,5161.75,1385
2016-06-10,5103.3,5178.62,4933.52,5115.74,1050
2016-06-13,5023.68,5195.71,4997.34,5195.71,774
2016-06-14,5096.95,5161.75,4977.53,5018.21,1375
2016-06-15,5044.75,5264.09,4553.41,5264.09,1785
2016-06-16,5113.94,5159.6,4979.29,5025.1,1619
2016-06-17,5025.44,5066.95,4952.94,5063.15,3294
2016-06-20,5137.36,5146.13,5005.68,5088.56,1291
2016-06-21,5005.63,5200.73,5005.63,5200.73,1632
2016-06-22,5171.51,5355.92,5152.03,5317.87,1110
2016-06-23,5316.84,5414.27,5249.57,5414.27,1709
2016-06-24,4878.79,5004.21,4800.72,4878.79,4211
2016-06-27,4878.79,4927.19,4790.97,4790.97,1710
2016-06-28,4849.51,4912.93,4761.69,4829.99,2189
2016-06-29,4894.49,5072.95,4800.76,5049.49,1444
2016-06-30,4928.55,4966.6,4890.78,4916.83,1326
2016-07-01,4947.03,4951.38,4782.19,4827.06,2331
2016-07-04,4781.69,4859.22,4600.78,4769.11,2088
2016-07-05,4704.12,4813.4,4704.12,4809.5,1114
2016-07-06,4766.62,4793.01,4683.63,4683.63,2186
2016-07-07,4684.66,4769.63,4615.36,4704.21,2815
2016-07-08,4742.33,4781.2,4709,4709.77,1578
