Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,5.97,6.06,5.88,5.94,665301
2016-02-26,5.98,6.04,5.93,5.97,912327
2016-02-29,5.87,5.96,5.83,5.86,1036841
2016-03-01,5.93,5.93,5.69,5.77,1491832
2016-03-02,5.8,5.83,5.74,5.8,1623069
2016-03-03,5.8,5.96,5.72,5.89,1237335
2016-03-04,5.89,5.97,5.78,5.85,539153
2016-03-07,5.89,5.96,5.81,5.92,827147
2016-03-08,5.95,5.98,5.88,5.95,612874
2016-03-09,5.89,5.98,5.75,5.83,1742712
2016-03-10,5.82,5.98,5.8,5.92,1392671
2016-03-11,5.97,5.97,5.88,5.93,756489
2016-03-14,5.97,6.08,5.93,6,1457923
2016-03-15,5.86,5.96,5.86,5.92,1298466
2016-03-16,5.95,5.98,5.82,5.85,815374
2016-03-17,5.85,5.91,5.8,5.9,1611531
2016-03-18,5.92,5.93,5.82,5.93,2725750
2016-03-21,5.93,5.93,5.81,5.85,989505
2016-03-22,5.88,5.89,5.75,5.82,1344454
2016-03-23,5.83,5.88,5.75,5.82,1058646
2016-03-24,5.8,5.88,5.74,5.85,825661
2016-03-29,5.87,5.88,5.83,5.86,746080
2016-03-30,5.86,5.95,5.84,5.95,1597772
2016-03-31,5.93,5.95,5.75,5.83,2487142
2016-04-01,5.84,5.87,5.73,5.83,942510
2016-04-04,5.83,5.9,5.8,5.9,397734
2016-04-05,5.86,5.87,5.77,5.79,366525
2016-04-06,5.81,5.81,5.6,5.6,1038846
2016-04-07,5.6,5.67,5.6,5.6,350654
2016-04-08,5.61,5.63,5.52,5.6,1180120
2016-04-11,5.55,5.62,5.55,5.58,388235
2016-04-12,5.59,5.6,5.46,5.52,437234
2016-04-13,5.52,5.62,5.52,5.57,5536656
2016-04-14,5.58,5.58,5.51,5.55,2024079
2016-04-15,5.58,5.59,5.52,5.54,4412069
2016-04-18,5.56,5.63,5.51,5.59,565221
2016-04-19,5.6,5.6,5.44,5.49,1764597
2016-04-20,5.55,5.55,5.26,5.31,3449690
2016-04-21,5.36,5.37,5.2,5.26,1120788
2016-04-22,5.29,5.36,5.22,5.28,878063
2016-04-25,5.29,5.29,5.18,5.23,496757
2016-04-26,5.2,5.26,5.12,5.18,603983
2016-04-27,5.13,5.25,5.05,5.13,610813
2016-04-28,5.08,5.11,5.05,5.08,958341
2016-04-29,5.1,5.1,4.99,5,1094833
2016-05-02,5.06,5.06,4.98,5,352850
2016-05-04,4.99,5.04,4.8,4.83,1037630
2016-05-05,4.86,4.86,4.66,4.71,1182566
2016-05-06,4.81,4.99,4.71,4.75,3489752
2016-05-09,4.8,4.84,4.76,4.76,405346
2016-05-10,4.81,4.81,4.62,4.66,668235
2016-05-11,4.7,4.72,4.57,4.65,503391
2016-05-12,4.65,4.82,4.65,4.76,1054812
2016-05-13,4.72,4.74,4.65,4.67,289460
2016-05-16,4.72,4.81,4.7,4.71,728678
2016-05-17,4.73,4.84,4.68,4.68,541745
