Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,302.03,307.84,302.03,307.19,1622
2016-02-26,306.26,312.08,304.74,310.65,1978
2016-02-29,311.02,323.53,310.75,321.36,3580
2016-03-01,318.6,320.77,315.91,316.33,1007
2016-03-02,314.91,316.84,313.23,315.77,576
2016-03-03,315,315,313.01,314.4,3229
2016-03-04,319.37,319.37,314.35,315.77,149
2016-03-07,317.67,317.67,309.97,310,977
2016-03-08,309.63,317.25,309.63,316.15,2422
2016-03-09,317.67,321.73,310.42,318.6,1383
2016-03-10,320.3,320.3,315.04,317.35,1423
2016-03-11,304.74,313.97,304.74,313.87,1704
2016-03-14,310.28,312.63,308.9,312.12,4360
2016-03-15,313.01,313.01,308.9,312.03,854
2016-03-16,312.03,312.03,308.9,309.5,2156
2016-03-17,311.17,311.17,302.88,302.88,3687
2016-03-18,301.98,301.98,294.63,295.5,12126
2016-03-21,293.66,293.66,280.82,285.3,13704
2016-03-22,286.1,290.89,282.58,284.24,5548
2016-03-23,286.26,286.26,283.51,283.51,1989
2016-03-24,284.88,284.88,280.28,280.73,1923
2016-03-29,280.73,287.1,280.73,286.14,6120
2016-03-30,286.36,290.89,279.35,279.35,3835
2016-03-31,281.65,288.49,281.65,288.49,3332
2016-04-01,293.57,293.57,289.23,289.33,2218
2016-04-04,290.99,291.81,289.41,289.41,1473
2016-04-05,290.84,290.84,282.77,288.11,2220
2016-04-06,290.43,290.43,282.58,282.72,7303
2016-04-07,289,289.96,277.04,279.81,41443
2016-04-08,279.99,283.51,277.13,282.58,961
2016-04-11,283.51,283.51,281.75,282.26,407
2016-04-12,282.3,283.51,282.26,282.58,5457
2016-04-13,282.58,286.26,281.65,286.14,1508
2016-04-14,289.79,289.79,284.51,285.35,4048
2016-04-15,285.35,285.35,283.51,284.98,2907
2016-04-18,283.51,289.05,283.51,283.6,4674
2016-04-19,282.67,289.05,282.21,289.05,2866
2016-04-20,289.54,289.79,286.51,289.79,5032
2016-04-21,289.79,292.74,286.36,291.13,2022
2016-04-22,291.77,298.93,288.21,298.28,3397
2016-04-25,300.13,300.13,295.55,295.75,5751
2016-04-26,295.75,300.08,295.6,299.24,1845
2016-04-27,299.19,302.88,299.19,301.83,3807
2016-04-28,301.83,301.83,299.19,300.13,15983
2016-04-29,296.52,302.89,296.52,302.89,1982
2016-05-02,303.72,305.62,297.44,305.62,1030
2016-05-04,305.67,309.36,305.62,306.17,6725
2016-05-05,300.64,309.17,300.64,304.77,1016
2016-05-06,307.07,311.27,304.72,305.66,7756
2016-05-09,304.77,306.6,301.16,301.91,9716
2016-05-10,303.03,303.73,297.83,302.61,490
2016-05-11,300.03,303.78,300.03,302.85,1186
2016-05-12,304.25,308.94,303.78,308.94,10242
2016-05-13,308.74,311.66,302.85,307.82,10211
2016-05-16,310.25,311.75,307.53,311.75,426
2016-05-17,311.75,312.69,311.27,312.51,5765
2016-05-18,311.37,312.51,309.41,309.41,15441
2016-05-19,308.37,312.22,304.72,308.52,5844
2016-05-20,307.62,311.25,306.26,310.35,2544
2016-05-23,309.41,314.05,309.41,314.05,2852
2016-05-24,314.1,314.1,313.16,314.1,1061
2016-05-25,314.57,320.05,309.5,315.97,5027
2016-05-27,315.03,319.72,315.03,318.79,1892
2016-05-30,318.79,320.66,318.4,319.35,2591
2016-05-31,318.88,322.44,318.88,322.44,7215
2016-06-01,317.98,323.47,317.98,320.56,5592
2016-06-02,315.97,318.32,315.97,317.85,3946
2016-06-03,318.32,323.47,317.38,323.47,1720
2016-06-06,323.47,323.47,319.72,321.31,524
2016-06-07,323.19,323.47,318.6,323.39,1960
2016-06-08,322.54,322.54,318.79,321.27,2483
2016-06-09,310.4,321.03,310.4,318.79,2221
2016-06-10,318.79,319.72,316.91,317.85,2961
2016-06-13,314.1,314.99,310.95,314.1,1901
2016-06-14,314.1,321.13,312.22,318.79,1501
2016-06-15,318.79,319.72,315.03,318.79,1707
2016-06-16,312.69,312.73,301.91,307.44,1281
2016-06-17,309.41,309.41,301.21,304.72,4471
2016-06-20,304.72,318.79,304.72,316.43,1369
2016-06-21,309.41,318.79,309.41,310.53,2204
2016-06-22,314.05,316.81,311.27,311.27,941
2016-06-23,311.27,318.79,310.82,317.85,4138
2016-06-24,292.06,303.78,291.69,301.34,9937
2016-06-27,301.34,311.27,301.34,309.41,5428
2016-06-28,308.94,317.85,308.94,316.91,666
2016-06-29,316.02,319.67,314.1,319.67,733
2016-06-30,319.72,322.54,315.5,322.54,2047
2016-07-01,321.13,325.16,321.13,323.51,1168
2016-07-04,323.47,327.59,319.81,327.41,735
2016-07-05,326.42,327.22,320.1,323.34,367
2016-07-06,321.69,324.41,319.76,324.41,250
2016-07-07,323.39,330.97,320.05,330.97,2375
2016-07-08,328.21,328.67,326.57,328.67,524
2016-07-11,328.63,328.63,323.71,328.58,205
2016-07-12,328.63,328.63,325.87,328.63,2922
2016-07-13,325.87,330.04,325.87,330.04,1012
2016-07-14,324.22,331.44,324.22,331.44,501
2016-07-15,331.44,332.85,323.51,331.9,1154
2016-07-18,331.9,337.49,328.16,336.5,1696
2016-07-19,333.32,336.13,331.58,335.57,117
2016-07-20,332.85,336.6,332.85,336.55,274
2016-07-21,333.79,335.66,332.9,335.61,223
2016-07-22,332.43,335.61,319.81,327.69,1246
2016-07-25,325.35,329.1,322.12,323.24,860
2016-07-26,323.47,326.29,322.54,325.35,1388
2016-07-27,321.59,327.13,321.59,326.62,58
2016-07-28,328.16,335.66,322.68,332.85,1854
2016-07-29,335.57,335.66,333.79,335.66,985
2016-08-01,335.66,344.29,335.66,339.69,2130
2016-08-02,342.14,342.14,338.47,338.52,680
2016-08-03,340.3,340.3,333.87,339.23,1149
2016-08-04,337.54,340.35,318.6,337.44,3173
2016-08-05,335.95,337.54,334.72,337.44,816
2016-08-08,337.49,338.43,334.72,338.43,649
2016-08-09,338.43,338.43,334.72,337.54,8855
2016-08-10,337.06,345.98,335.8,345.09,32018
2016-08-11,346.44,347.85,345.09,346.91,997
2016-08-12,346.91,347.85,342.36,346.91,2083
2016-08-16,347.85,348.32,345.98,348.32,566
2016-08-17,348.32,348.32,340.35,340.54,472
2016-08-18,342.14,343.4,337.81,343.4,537
2016-08-19,345.04,349.68,336.6,343.16,1422
2016-08-22,344.09,346.54,342.22,343.26,523
2016-08-23,342.22,346.91,342.22,343.16,1021
2016-08-24,346.91,346.91,342.41,346.91,1188
2016-08-25,345.14,351.6,342.22,346.91,1474
2016-08-26,346.91,346.91,338.47,341.29,2370
2016-08-29,341.29,341.29,330.27,339.41,1472
2016-08-30,339.41,339.41,333.83,337.54,3670
2016-08-31,334.77,339.41,334.77,339.41,1118
2016-09-01,337.54,339.41,334.82,334.82,526
2016-09-02,339.31,339.31,333.08,336.6,4343
2016-09-05,337.54,339.36,333.83,339.36,243
2016-09-06,337.63,340.35,336.6,340.35,477
2016-09-07,339.41,343.63,337.54,342.22,1590
2016-09-08,339.83,343.35,337.59,340.35,722
2016-09-09,339.18,345.04,339.13,342.22,1690
2016-09-12,342.22,351.6,340.35,348.69,8415
2016-09-13,347.85,348.79,343.16,348.17,304
2016-09-14,348.17,349.73,344.14,344.14,1021
2016-09-15,344.06,346.82,340.82,346.82,118
2016-09-16,345.27,346.91,345.27,346.91,1006
2016-09-19,346.91,346.91,342.51,346.77,690
