Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,5.9564,6.1377,5.9564,6.1377,5692566
2016-02-26,6.1282,6.2427,6.1282,6.1568,4070225
2016-02-29,6.1568,6.1568,5.9659,5.9945,2471079
2016-03-01,5.9659,6.0136,5.8895,5.9945,1360520
2016-03-02,6.0232,6.0423,5.775,5.775,2394107
2016-03-03,5.8227,5.8227,5.7177,5.8036,3324905
2016-03-04,5.8227,5.9373,5.7559,5.8418,3035537
2016-03-07,5.8514,5.8609,5.7177,5.7845,4241777
2016-03-08,5.7368,5.8991,5.7368,5.8991,2666562
2016-03-09,5.8514,5.985,5.8514,5.985,2814045
2016-03-10,5.985,6.2045,5.985,6.0327,3989383
2016-03-11,6.0232,6.1091,5.8991,5.8991,1567977
2016-03-14,5.9564,5.985,5.8323,5.9755,1273905
2016-03-15,5.9373,6.0518,5.9373,5.9945,1067886
2016-03-16,6.0423,6.0995,5.8991,6.0805,1319116
2016-03-17,6.0805,6.2809,6.0805,6.2523,6346025
2016-03-18,6.3,6.4432,6.2618,6.3764,6003903
2016-03-21,6.3382,6.4623,6.2714,6.4527,2653697
2016-03-22,6.4432,6.5577,6.4145,6.5386,2686460
2016-03-23,6.5482,6.5673,6.3382,6.3859,3340791
2016-03-24,6.3477,6.51,6.3382,6.4432,2311289
2016-03-29,6.5005,6.5386,6.4432,6.4909,1970193
2016-03-30,6.5482,6.6532,6.4909,6.5482,2846642
2016-03-31,6.5482,6.6723,6.3095,6.4336,3878011
2016-04-01,6.3955,6.3955,6.1377,6.3859,2321264
2016-04-04,6.3859,6.3859,6.1855,6.3,2445573
2016-04-05,6.2523,6.2809,6.0423,6.0805,4039910
2016-04-06,6.09,6.1568,5.9755,6.0136,2808343
2016-04-07,6.0614,6.1091,5.9564,6.0327,2740707
2016-04-08,6.0327,6.1377,5.985,6.0041,1953905
2016-04-11,6.0136,6.1091,5.985,6.0614,1710503
2016-04-12,6.0805,6.09,5.9659,6.0327,883237
2016-04-13,6.0327,6.0709,5.9755,5.9945,1221149
2016-04-14,6.0327,6.0709,5.985,5.985,1674614
2016-04-15,5.9945,6.0518,5.8991,5.9468,1588463
2016-04-18,5.9086,6.0327,5.8705,6.0327,1184260
2016-04-19,6.0518,6.1568,6.0423,6.1377,1486855
2016-04-20,6.1282,6.1759,6.0423,6.1091,1469289
2016-04-21,6.1759,6.1759,6.0614,6.1091,862229
2016-04-22,6.1377,6.1377,5.985,6.0805,1276469
2016-04-25,6.0136,6.0423,5.9468,6.0327,617114
2016-04-26,6.0805,6.2045,6.0041,6.2045,2027631
2016-04-27,6.2141,6.2141,6.0805,6.1568,1747057
2016-04-28,6.1473,6.1473,5.9755,6.0423,1405664
2016-04-29,6.0041,6.0136,5.8991,5.9373,1865132
2016-05-02,5.9182,5.985,5.9086,5.9277,291706
2016-05-04,5.9086,5.9373,5.7273,5.7273,5078549
2016-05-05,5.7273,5.775,5.6318,5.6509,3593674
2016-05-06,5.6509,5.67,5.5936,5.6318,1715195
2016-05-09,5.6318,5.6318,5.4982,5.5745,4117975
2016-05-10,5.5745,5.6414,5.5459,5.6414,2824731
2016-05-11,5.6509,5.6509,5.5745,5.5936,3144900
2016-05-12,5.6032,5.7273,5.5936,5.6605,1896922
2016-05-13,5.6605,5.7082,5.5936,5.6509,1607125
2016-05-16,5.6605,5.7845,5.6605,5.7464,3413960
2016-05-17,5.7655,5.7845,5.6605,5.7177,3187331
2016-05-18,5.7082,5.7368,5.6032,5.6605,2994924
2016-05-19,5.6223,5.6414,5.5555,5.6414,4329694
2016-05-20,5.5936,5.8227,5.5936,5.7464,3146950
2016-05-23,5.7273,5.7559,5.565,5.5936,3012254
2016-05-24,5.5936,5.6605,5.5936,5.5936,925792
2016-05-25,5.6127,5.6318,5.5364,5.5364,1495614
2016-05-27,5.5364,5.7082,5.5268,5.67,2822598
2016-05-30,5.6986,5.6986,5.6318,5.6509,652010
2016-05-31,5.6509,5.6891,5.4791,5.4791,4038570
2016-06-01,5.4886,5.5077,5.3073,5.4027,7355326
