Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,114.44,115.99,113.84,115.72,437416
2016-02-26,116.27,118.91,116.27,116.76,687346
2016-02-29,116.76,117.33,113.3,114.38,680989
2016-03-01,114.69,116.07,113.11,116.07,314396
2016-03-02,116.07,117.96,115.83,117.8,1100358
2016-03-03,117.84,120.36,117.8,120.36,821957
2016-03-04,120.68,120.68,118.3,119.56,413627
2016-03-07,119.45,120.63,118.61,120.25,386092
2016-03-08,119.83,121.44,117.64,119.07,467469
2016-03-09,118.95,119.83,117.99,118.95,271191
2016-03-10,118.91,121.6,118.14,119.56,516196
2016-03-11,120.41,122.03,119.83,120.91,289770
2016-03-14,122.1,123.4,120.83,122.6,454998
2016-03-15,122.03,123.83,121.67,123.01,240371
2016-03-16,123.52,123.52,120.91,121.29,315140
2016-03-17,122.03,122.87,119.95,121.9,442540
2016-03-18,121.9,123.63,120.79,123.63,805792
2016-03-21,122.51,123.49,121.75,123.49,261848
2016-03-22,123.6,123.6,122.21,123.26,315038
2016-03-23,122.9,123.89,122.18,123.4,297521
2016-03-24,122.9,122.9,119.48,121.72,379230
2016-03-29,122.25,124.21,121.41,123.83,341710
2016-03-30,124.28,128.67,124.28,128.67,476648
2016-03-31,127.52,128.08,124.6,126.52,718949
2016-04-01,125.47,126.52,123.17,124.44,341681
2016-04-04,124.44,125.09,123.78,124.91,137551
2016-04-05,124.52,124.6,121.37,121.37,411074
2016-04-06,122.05,122.05,118.52,118.68,409808
2016-04-07,119.75,120.33,116.44,116.99,392504
2016-04-08,117.99,119.41,116.44,117.49,443415
2016-04-11,117.96,119.23,116.44,116.68,251348
2016-04-12,117.3,117.91,115.5,116.29,328417
2016-04-13,117.6,119.1,117.37,118.34,346171
2016-04-14,118.3,119.53,117.75,118.37,216000
2016-04-15,118.34,120.02,118.34,119.41,483236
2016-04-18,119.1,120.75,118.37,120.75,320323
2016-04-19,120.56,123.63,120.56,123.33,640095
2016-04-20,122.9,124.02,122.67,123.33,438771
2016-04-21,123.67,124.44,121.1,122.18,549457
2016-04-22,122.14,122.14,119.99,121.29,182452
2016-04-25,121.29,121.64,119.91,120.68,220262
2016-04-26,121.13,121.25,118.3,119.07,278329
2016-04-27,119.03,119.23,116.03,116.68,357424
2016-04-28,116.27,118.72,116.27,118.72,514338
2016-04-29,118.68,119.37,116.76,119.25,333865
2016-05-02,119.53,121.06,118.61,120.45,152584
2016-05-04,118.98,120.02,116.8,116.8,475621
2016-05-05,116.76,117.03,112.46,113.61,298464
2016-05-06,113.68,118.95,113.68,117.84,648616
2016-05-09,117.96,120.07,117.53,119.75,329362
2016-05-10,119.53,119.71,116.91,119.3,514355
2016-05-11,117.87,118.07,114.49,115.04,419924
2016-05-12,115.1,116.42,113.84,113.84,311503
2016-05-13,113.93,117.14,113.93,116.18,633000
2016-05-16,117.6,120.22,117.3,119.45,469858
2016-05-17,120.18,120.87,118.02,118.3,1120719
2016-05-18,118.61,119.6,117.57,117.99,406410
2016-05-19,119.37,119.37,115.88,116.49,382925
2016-05-20,115.99,115.99,112.96,113.15,438263
2016-05-23,114.15,115.92,113.8,115.22,489215
2016-05-24,115.22,116.99,114.44,115.77,330519
2016-05-25,115.99,117.72,115.99,116.91,296966
2016-05-27,115.95,118.79,115.61,117.64,474138
2016-05-30,117.64,117.87,116.53,117.22,70623
2016-05-31,117.22,118.37,114.57,114.57,728329
2016-06-01,114.65,114.84,109.54,110.24,329407
2016-06-02,110.08,112.03,108.96,110.69,494660
2016-06-03,110.66,112.8,108.84,112.54,1091468
2016-06-06,112.91,114.49,111.92,114.22,292148
2016-06-07,114.49,116.68,114.3,116.65,698561
