Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,55.242,55.583,54.233,55.303,1018639
2016-02-26,55.575,56.732,55.443,56.241,1586146
2016-02-29,55.68,56.075,55.013,56.049,1541159
2016-03-01,56.049,56.425,54.794,55.391,1246991
2016-03-02,55.68,55.767,53.89,54.251,976459
2016-03-03,54.627,56.758,53.54,56.758,1842745
2016-03-04,56.593,56.732,55.592,56.451,848396
2016-03-07,56.119,57.96,56.109,57.741,1901924
2016-03-08,56.995,56.995,55.092,56.119,2924908
2016-03-09,56.056,56.224,55.022,55.338,1584446
2016-03-10,55.338,55.68,54.425,54.724,1844386
2016-03-11,54.978,56.513,54.934,56.119,1517269
2016-03-14,56.127,56.698,54.996,55.531,1220695
2016-03-15,55.443,55.943,55.285,55.662,865911
2016-03-16,55.741,56.224,55.417,56.224,923831
2016-03-17,55.338,58.179,55.338,57.583,1326953
2016-03-18,57.767,59.361,57.127,59.292,2744202
2016-03-21,59.013,59.704,58.45,59.626,1865037
2016-03-22,59.67,60.327,58.792,59.818,1615081
2016-03-23,59.644,60.116,58.758,59.467,1023686
2016-03-24,59.187,61.194,58.828,61.194,1357595
2016-03-29,60.941,62.659,60.704,62.379,1967537
2016-03-30,62.475,64.695,62.475,64.695,2034384
2016-03-31,61.38,64.8,60.503,64.8,2584181
2016-04-01,64.037,64.649,62.966,63.58,1218953
2016-04-04,63.308,64.615,63.001,64.58,783462
2016-04-05,64.273,64.536,63.16,63.361,1552666
2016-04-06,63.414,64.097,61.493,61.992,943660
2016-04-07,62.449,62.651,60.774,61.38,1229087
2016-04-08,61.756,62.904,61.459,62.133,840415
2016-04-11,62.012,62.852,61.676,62.37,681764
2016-04-12,62.344,62.493,60.941,61.643,784590
2016-04-13,61.817,63.572,61.817,63.141,715055
2016-04-14,62.852,63.809,62.694,63.343,571006
2016-04-15,63.431,63.747,62.562,63.107,835950
2016-04-18,62.783,62.966,62.08,62.415,920524
2016-04-19,62.589,64.659,62.589,64.176,1092454
2016-04-20,64.097,64.747,63.87,64.431,1557096
2016-04-21,64.36,64.448,62.659,63.019,1464565
2016-04-22,63.133,63.22,60.879,61.388,1395171
2016-04-25,61.126,61.774,60.301,61.38,813419
2016-04-26,61.38,61.686,60.791,61.38,1309893
2016-04-27,61.037,61.861,59.836,60.1,1196320
2016-04-28,59.889,61.844,59.547,61.187,1250701
2016-04-29,61.511,61.511,60.266,60.283,1306339
2016-05-02,60.634,61.467,59.573,60.195,506969
2016-05-04,60.195,60.643,58.354,58.924,1183266
2016-05-05,58.924,59.187,57.284,58.617,811297
2016-05-06,58.564,58.967,57.153,58.371,1165786
2016-05-09,58.635,59.45,57.995,58.442,672822
2016-05-10,58.608,59.187,56.995,57.696,992538
2016-05-11,57.696,60.011,57.346,59.24,1016630
2016-05-12,59.704,60.836,59.704,60.547,986412
2016-05-13,60.547,60.765,60.178,60.283,828371
2016-05-16,60.266,61.624,60.266,60.625,744951
2016-05-17,60.721,61.335,59.626,59.67,630281
2016-05-18,59.67,60.064,59.125,59.355,824677
2016-05-19,59.276,60.1,58.143,58.275,883270
2016-05-20,58.222,60.362,57.635,60.362,932895
2016-05-23,60.327,60.511,59.266,59.827,512190
2016-05-24,60.037,60.871,59.389,60.678,776923
2016-05-25,60.853,62.256,60.589,61.38,1482400
2016-05-27,61.844,62.08,60.292,60.765,984895
2016-05-30,60.765,60.941,60.327,60.503,325183
2016-05-31,60.651,61.686,60.651,60.66,1984942
2016-06-01,60.941,61.634,60.231,60.503,1291189
2016-06-02,60.503,60.765,59.836,60.24,906480
2016-06-03,60.415,61.23,59.871,60.889,1009708
2016-06-06,61.028,61.073,59.276,59.538,821208
2016-06-07,59.626,61.168,59.626,60.344,1015525
2016-06-08,60.336,61.59,59.898,60.791,1032330
2016-06-09,60.503,60.941,59.319,59.389,599680
2016-06-10,59.626,59.748,58.459,59.467,478892
2016-06-13,58.758,60.589,58.574,60.283,640965
2016-06-14,59.994,60.116,58.758,59.371,998841
2016-06-15,59.441,59.441,58.626,59.214,763064
2016-06-16,58.485,60.064,58.416,59.467,1460837
2016-06-17,59.538,60.029,58.749,59.626,1664325
2016-06-20,60.283,61.37,59.853,60.283,808339
2016-06-21,59.898,60.52,59.52,60.52,649351
2016-06-22,60.503,61.204,60.195,61.16,767898
2016-06-23,61.283,63.614,60.95,63.614,1120338
2016-06-24,51.734,62.213,51.734,60.547,1049650
2016-06-27,60.195,61.555,59.687,60.774,849233
2016-06-28,61.616,61.643,60.511,61.335,1504726
2016-06-29,61.703,61.703,60.993,61.16,1921842
2016-06-30,60.678,61.309,60.336,60.547,1532305
2016-07-01,60.993,61.073,59.845,60.353,661599
2016-07-04,59.765,59.932,58.837,59.45,941562
2016-07-05,59.618,59.618,58.635,58.872,766482
2016-07-06,58.872,59.003,57.653,58.179,1379336
2016-07-07,58.424,58.907,57.801,58.328,931326
2016-07-08,58.608,58.608,56.162,56.162,1452829
2016-07-11,56.82,57.179,55.723,56.619,2027660
2016-07-12,56.451,57.82,56.389,57.82,1076171
2016-07-13,58.047,58.697,56.626,57.092,1576210
2016-07-14,57.897,57.897,55.454,56.268,1796874
2016-07-15,56.721,57.345,56.132,57.082,1246283
2016-07-18,57.445,59.272,57.445,59.119,900518
2016-07-19,59.2,60.023,58.819,59.969,866429
2016-07-20,60.24,60.321,58.376,58.439,1504315
2016-07-21,58.775,58.775,57.055,58.62,904081
2016-07-22,58.62,58.683,57.544,57.688,505388
2016-07-25,57.897,58.973,57.888,58.874,631965
2016-07-26,58.747,60.105,58.539,59.425,1071113
2016-07-27,59.254,59.308,57.942,59.163,1238200
2016-07-28,58.71,59.163,57.164,57.164,1534272
2016-07-29,57.173,57.445,56.323,56.494,1995362
2016-08-01,56.811,57.399,55.473,56.82,936955
2016-08-02,56.992,57.581,55.997,56.585,1330857
2016-08-03,56.847,56.992,55.698,56.377,608935
2016-08-04,56.585,58.222,56.467,58.167,1256293
2016-08-05,58.322,58.557,57.399,58.349,1605295
2016-08-08,58.403,58.982,57.925,58.955,836789
2016-08-09,58.738,59.977,58.629,59.47,945832
2016-08-10,58.991,60.583,58.937,60.583,1024594
2016-08-11,60.158,61.008,59.868,60.718,1231391
2016-08-12,60.882,61.326,60.068,60.185,969604
2016-08-16,60.158,60.294,58.593,58.802,1692942
2016-08-17,58.802,59.227,57.345,57.987,1218483
2016-08-18,58.123,58.792,57.816,58.775,847284
2016-08-19,58.802,59.435,58.575,59.254,647559
2016-08-22,58.802,60.248,58.802,59.977,997807
2016-08-23,59.76,60.34,59,59.525,2871130
2016-08-24,58.991,59.254,58.394,59.254,729970
2016-08-25,59.208,59.218,58.439,59.027,852770
2016-08-26,58.883,59.054,58.186,58.71,610748
2016-08-29,58.783,58.973,58.186,58.883,495010
2016-08-30,58.802,59.67,58.775,59.57,772353
2016-08-31,59.525,59.589,58.394,58.802,1364474
2016-09-01,58.729,59.299,58.032,58.982,908205
2016-09-02,58.819,58.982,58.276,58.53,996482
2016-09-05,58.53,59.027,58.267,58.484,554246
2016-09-06,58.484,59.254,57.96,58.222,1464127
2016-09-07,58.113,59.435,58.113,59.126,1077336
2016-09-08,59.245,59.435,58.086,58.539,755463
2016-09-09,58.349,58.484,57.769,57.897,435413
2016-09-12,57.445,57.453,56.088,56.938,784925
2016-09-13,57.173,57.254,56.096,56.721,1069691
2016-09-14,57.218,57.218,56.359,56.766,444027
2016-09-15,56.811,57.806,56.667,57.643,636334
2016-09-16,57.761,58.15,57.263,57.716,1523632
2016-09-19,58.059,59.018,58.059,58.964,834459
2016-09-20,58.802,59.616,58.521,59.616,515528
2016-09-21,59.48,60.194,59.48,60.194,810141
2016-09-22,60.077,61.65,60.077,60.972,1548453
2016-09-23,60.837,60.837,58.937,59.534,984978
2016-09-26,58.955,58.982,58.096,58.475,587502
2016-09-27,58.747,58.756,58.068,58.756,512759
2016-09-28,58.802,58.955,58.024,58.439,628504
2016-09-29,59.027,59.561,58.349,58.964,628447
2016-09-30,58.349,59.389,58.059,58.811,1664064
2016-10-03,59.136,59.57,58.484,58.62,780219
2016-10-04,59.072,60.176,58.775,59.706,1526636
2016-10-05,59.797,61.062,59.697,60.61,714669
2016-10-06,60.882,61.062,60.394,60.837,755981
2016-10-07,60.963,61.026,60.602,60.746,1025717
2016-10-10,60.746,63.406,60.746,62.945,2600525
2016-10-11,63.143,63.777,62.818,62.945,1546017
2016-10-12,62.564,63.596,62.348,63.116,765488
2016-10-13,62.556,62.809,62.284,62.411,2116561
2016-10-14,62.547,62.556,62.392,62.42,639933
2016-10-17,62.42,62.891,61.244,61.289,902530
2016-10-18,61.561,62.492,61.289,61.307,761430
2016-10-19,61.353,62.872,61.353,62.239,1052412
2016-10-20,63.316,63.641,63.062,63.46,1242930
2016-10-21,63.505,63.913,63.089,63.37,790454
2016-10-24,63.324,64.228,63.289,63.976,535084
2016-10-25,63.785,65.568,63.785,65.17,1242900
2016-10-26,65.134,66.987,64.926,66.762,2476506
2016-10-27,66.898,68.607,66.853,67.757,2085577
2016-10-28,67.766,68.753,67.232,68.409,1587963
2016-10-31,68.391,70.742,68.391,70.381,3551876
2016-11-02,70.29,70.29,67.901,68.209,2603989
2016-11-03,68.029,68.942,67.63,68.707,1451962
2016-11-04,68.255,68.572,66.165,66.165,903788
2016-11-07,67.069,67.622,66.038,66.382,1273644
2016-11-08,66.853,67.331,66.336,67.024,1151395
2016-11-09,66.401,66.68,65.333,66.273,1221801
2016-11-10,66.961,70.815,66.961,67.287,1990280
2016-11-14,66.038,68.327,65.948,65.975,1585624
2016-11-15,66.472,67.395,66.445,66.816,1186210
2016-11-16,67.351,68.861,67.287,67.694,1245786
