Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-02-25,913.1,916.72,904.98,904.98,57
2016-02-26,912.21,920.28,902.27,912.21,132
2016-02-29,912.21,912.21,903.18,904.08,110
2016-03-01,912.21,917.64,904.08,904.08,17
2016-03-02,917.59,961.89,907.69,961.89,293
2016-03-03,959.17,959.17,925.76,958.17,41
2016-03-04,956.47,956.47,930.28,955.53,24
2016-03-07,940.21,943.78,932.98,932.98,49
2016-03-08,934.78,934.78,912.21,925.76,138
2016-03-09,932.98,937.5,930.28,937.5,17
2016-03-10,946.53,946.53,930.37,930.37,99
2016-03-11,946.08,948.42,932.08,932.08,57
2016-03-14,932.08,944.73,921.24,921.24,191
2016-03-15,925.76,930.28,924.86,925.76,53
2016-03-16,923.05,925.76,919.44,919.44,22
2016-03-17,919.39,929.37,919.39,925.76,90
2016-03-18,925.71,925.71,903.18,905.89,2312
2016-03-21,915.73,918.53,906.84,918.4,82
2016-03-22,918.53,920.33,910.49,912.21,212
2016-03-23,913.1,921.24,900.46,900.46,219
2016-03-24,900.46,912.16,894.19,898.66,384
2016-03-29,903.18,904.08,898.66,900.51,174
2016-03-30,902.68,904.08,895.95,903.18,532
2016-03-31,903.18,903.18,876.08,903.18,2442
2016-04-01,903.18,903.18,894.15,902.27,796
2016-04-04,902.27,903.14,898.66,903.14,9294
2016-04-05,903.22,903.22,898.66,898.66,111
2016-04-06,898.66,900.38,879.7,879.7,156
2016-04-07,880.59,894.15,880.59,889.62,50
2016-04-08,889.62,894.15,887.82,887.82,39
2016-04-11,887.82,889.62,881.5,889.62,112
2016-04-12,881.05,889.62,881.05,886.92,1214
2016-04-13,889.62,901.37,889.62,898.22,197
2016-04-14,901.37,905.89,898.66,905.89,458
2016-04-15,910.41,919.17,910.41,917.64,777
2016-04-18,917.68,928.92,914.02,921.24,766
2016-04-19,928.84,946.53,928.84,945.17,353
2016-04-20,946.08,952.4,945.63,952.4,232
2016-04-21,956.47,993.48,956.47,977.24,523
2016-04-22,988.98,1011.51,986.3,1007.94,605
2016-04-25,1007.94,1026.01,1007.94,1011.55,79
2016-04-26,1012.46,1015.17,990.79,1015.17,299
2016-04-27,1015.17,1015.17,993.53,1002.53,80
2016-04-28,1002.53,1002.53,962.02,1002.53,354
2016-04-29,1002.53,1002.53,993.48,1002.44,597
2016-05-02,993.48,999.81,988.98,993.48,103
2016-05-04,971.82,990.74,971.82,980.85,25
2016-05-05,975.43,978.14,966.4,968.25,57
2016-05-06,967.3,979.86,950.15,979.86,83
2016-05-09,979,979,970.92,970.92,43
2016-05-10,962.79,966.35,957.37,957.37,43
2016-05-11,975.43,975.43,949.24,949.24,7
2016-05-12,949.24,950.15,949.24,950.15,3
2016-05-13,948.35,957.37,939.3,943.82,101
2016-05-16,948.35,957.37,948.35,957.37,15
2016-05-17,961.89,970.02,961.89,970.02,32
2016-05-18,970.02,973.62,918.43,966.4,312
2016-05-19,961.89,966.4,961.89,966.4,57
2016-05-20,964.6,966.4,941.11,941.11,79
2016-05-23,940.29,960.98,940.29,941.11,8
2016-05-24,960.98,960.98,937.55,943.82,57
2016-05-25,946.53,960.98,946.53,949.29,52
2016-05-27,946.62,970.92,946.53,970.92,47
2016-05-30,987.02,988.85,958.49,975.98,63
2016-05-31,974.13,974.13,938.7,938.7,52
2016-06-01,947.64,947.64,922.28,922.28,118
2016-06-02,921.23,938.7,915.69,938.7,152
2016-06-03,938.7,988.4,938.7,988.4,284
2016-06-06,975.52,988.85,946.71,947.91,72
2016-06-07,957.1,958.95,948.83,955.27,37
2016-06-08,955.27,957.1,955.27,957.1,28
2016-06-09,963.46,963.55,947.91,948.38,27
2016-06-10,948.38,957.1,940.36,957.1,534
2016-06-13,925.82,947.91,925.82,931.35,68
2016-06-14,933.18,934.1,928.58,928.58,35
2016-06-15,924.9,924.94,919.38,924.94,24
2016-06-16,924.9,924.9,923.06,923.98,109
2016-06-17,922.14,929.5,922.14,922.14,1683
2016-06-20,929.5,943.31,926.46,943.31,6521
2016-06-21,934.1,937.78,934.1,937.78,12
2016-06-22,938.7,938.7,934.1,938.7,32
2016-06-23,934.19,955.23,934.19,943.31,24
2016-06-24,920.29,938.7,892.69,933.64,131
2016-06-27,934.1,934.1,912.07,919.38,33
2016-06-28,922.14,930.42,913.86,913.86,28
2016-06-29,920.29,923.93,911.09,920.29,72
2016-06-30,929.97,930.42,905.57,911.09,78
2016-07-01,920.25,920.29,919.47,920.29,6
2016-07-04,920.29,920.29,912.02,915.69,161
2016-07-05,911.09,920.29,911.09,920.29,114
2016-07-06,920.29,924.9,911.14,924.9,1110
2016-07-07,924.86,924.86,915.69,917.54,1130
2016-07-08,916.63,917.54,911.09,911.09,3314
2016-07-11,912.94,912.94,901.89,901.89,143
2016-07-12,901.89,901.89,888.18,893.61,70
2016-07-13,892.78,897.29,892.78,897.29,64
2016-07-14,911.09,912.38,911.09,911.09,41
2016-07-15,911.09,918.45,911.09,911.09,3177
2016-07-18,913.86,913.86,902.82,904.66,46
2016-07-19,892.69,919.28,892.69,897.29,76
2016-07-20,903.73,905.57,895.45,895.45,38
2016-07-21,908.33,908.33,896.37,900.05,28
2016-07-22,900.05,907.42,897.38,897.38,159
2016-07-25,899.96,906.46,895.91,898.22,91
2016-07-26,901.89,906.46,898.22,904.66,46
2016-07-27,899.13,899.13,889.01,892.64,210
2016-07-28,892.69,892.69,865.17,870.14,877
2016-07-29,874.28,874.28,849.44,855.88,665
2016-08-01,886.7,886.7,831.12,863.24,4912
2016-08-02,875.21,879.62,865.07,865.07,430
2016-08-03,879.3,886.9,869.68,869.68,67
2016-08-04,884.09,884.13,874.28,874.28,177
2016-08-05,883.48,889.93,874.28,874.28,177
2016-08-08,883.48,889.93,870.14,877.97,227
2016-08-09,874.28,885.23,865.07,865.07,378
2016-08-10,866.01,867.85,860.48,860.48,58
2016-08-11,874.28,874.28,855.88,855.88,105
2016-08-12,864.16,865.07,853.12,865.07,3394
2016-08-16,865.07,874.28,860.52,874.28,410
2016-08-17,874.2,874.28,865.07,865.07,86
2016-08-18,858.64,858.64,839.32,843.92,9107
2016-08-19,840.33,844.83,832.87,840.23,36267
2016-08-22,842.86,858.64,840.23,840.23,75
2016-08-23,854.95,870.33,843.92,843.92,114
2016-08-24,846.67,865.07,846.67,846.76,309
2016-08-25,845.75,854.95,845.75,846.72,5831
2016-08-26,853.99,854.04,843.92,843.92,897
2016-08-29,840.92,847.6,840.92,847.6,3362
2016-08-30,847.64,850.59,834.67,834.67,231
2016-08-31,838.35,838.35,782.25,814.47,2130
2016-09-01,814.42,827.81,806.18,819.98,1166
2016-09-02,824.26,832.64,824.26,832.19,65
2016-09-05,834.21,848.43,834.21,846.67,77
2016-09-06,848.79,856.3,837.47,837.47,99
2016-09-07,855.88,855.88,846.67,846.67,55
2016-09-08,855.88,855.88,839.77,851.05,33
2016-09-09,844.83,844.83,843.92,843.92,1091
2016-09-12,843.92,843.92,819.53,820.03,288
2016-09-13,837.47,837.47,832.87,832.87,12
2016-09-14,828.36,837.47,818.14,837.47,36
2016-09-15,828.36,837.47,823.66,837.47,22
2016-09-16,837.06,837.47,819.98,819.98,34
2016-09-19,820.91,828.26,808.16,827.71,610
2016-09-20,823.66,837.47,823.66,837.47,32
2016-09-21,832.87,835.63,815.38,822.75,135
2016-09-22,822.75,832.82,805.5,808.94,633
2016-09-23,806.27,814.19,789.38,800.66,441
2016-09-26,800.66,804.8,785.33,785.48,318
2016-09-27,785.48,801.12,785.48,794.22,254
2016-09-28,791.45,799.7,787.78,787.78,276
2016-09-29,787.78,803.88,782.4,782.4,1128
2016-09-30,782.25,828.26,777.79,828.26,2479
